length1,width1,length2,width2,type
6.3,2.3,4.4,1.3,aeonium
5.6,3,4.1,1.3,aeonium
5.5,2.5,4,1.3,aeonium
5.5,2.6,4.4,1.2,aeonium
6.1,3,4.6,1.4,aeonium
5.8,2.6,4,1.2,aeonium
5,2.3,3.3,1,aeonium
5.6,2.7,4.2,1.3,aeonium
5.7,3,4.2,1.2,aeonium
5.7,2.9,4.2,1.3,aeonium
6.2,2.9,4.3,1.3,aeonium
5.1,2.5,3,1.1,aeonium
5.7,2.8,4.1,1.3,aeonium
6.3,3.3,6,2.5,agave
5.8,2.7,5.1,1.9,agave
7.1,3,5.9,2.1,agave
6.3,2.9,5.6,1.8,agave
6.5,3,5.8,2.2,agave
7.6,3,6.6,2.1,agave
4.9,2.5,4.5,1.7,agave
7.3,2.9,6.3,1.8,agave
6.7,2.5,5.8,1.8,agave
7.2,3.6,6.1,2.5,agave
6.5,3.2,5.1,2,agave
6.4,2.7,5.3,1.9,agave
6.8,3,5.5,2.1,agave
5.7,2.5,5,2,agave
5.8,2.8,5.1,2.4,agave
6.4,3.2,5.3,2.3,agave
6.5,3,5.5,1.8,agave
7.7,3.8,6.7,2.2,agave
7.7,2.6,6.9,2.3,agave
6,2.2,5,1.5,agave
6.9,3.2,5.7,2.3,agave
5.6,2.8,4.9,2,agave
7.7,2.8,6.7,2,agave
6.3,2.7,4.9,1.8,agave
6.7,3.3,5.7,2.1,agave
7.2,3.2,6,1.8,agave
6.2,2.8,4.8,1.8,agave
6.1,3,4.9,1.8,agave
6.4,2.8,5.6,2.1,agave
7.2,3,5.8,1.6,agave
7.4,2.8,6.1,1.9,agave
7.9,3.8,6.4,2,agave
6.4,2.8,5.6,2.2,agave
6.3,2.8,5.1,1.5,agave
6.1,2.6,5.6,1.4,agave
7.7,3,6.1,2.3,agave
6.3,3.4,5.6,2.4,agave
6.4,3.1,5.5,1.8,agave
6,3,4.8,1.8,agave
6.9,3.1,5.4,2.1,agave
6.7,3.1,5.6,2.4,agave
6.9,3.1,5.1,2.3,agave
5.8,2.7,5.1,1.9,agave
6.8,3.2,5.9,2.3,agave
6.7,3.3,5.7,2.5,agave
6.7,3,5.2,2.3,agave
6.3,2.5,5,1.9,agave
6.5,3,5.2,2,agave
6.2,3.4,5.4,2.3,agave
5.9,3,5.1,1.8,agave
